rainfall(mm),avgT,LowT,HighT,seoulDiag,seoulDadd,under_treatment,cured,dead,sus_patient,sus_patient_checking,sus_pat_negative
0,-7.7,-12.8,-2.7,21463,187,7433,13800,230,0,0,0
0,-6.7,-9.6,-4,21604,141,5832,15534,238,0,0,0
2.6,-3.9,-9.3,-0.5,21771,167,5585,15938,248,0,0,0
0,2,-3,8.3,21922,152,5585,16087,250,0,0,0
0,1.7,-3.6,7,22056,134,5500,16304,252,0,0,0
0.2,4.5,-0.7,9.9,22183,127,5411,16518,254,0,0,0
0,-4.9,-8.7,-0.7,22339,156,5192,16885,262,0,0,0
0,-5.5,-10.8,-1.3,22484,145,5126,17093,265,0,0,0
0.3,-3.8,-9.1,0.2,22616,132,5134,17211,271,0,0,0
0,-6.3,-11.6,-0.2,22717,101,4953,17487,277,0,0,0
0,-0.1,-6.6,7.1,22859,143,4818,17762,279,0,0,0
9.2,4.5,2.5,7,22984,125,4712,17987,285,0,0,0
0.1,5.5,4.8,6.6,23097,115,4651,18156,290,0,0,0
0,7.6,4.8,12.2,23224,127,4636,18294,294,0,0,0
0,7.9,3,13.9,23459,102,4532,18626,301,0,0,0
1.7,5.3,1.7,7.4,23563,104,4231,19028,304,0,0,0
0,1.7,-1.8,6.5,23692,129,4227,19158,307,0,0,0
2,-2.6,-9.7,1.4,23797,105,4157,19329,311,0,0,0
0,-8.8,-11.6,-4.9,23908,112,4105,19486,317,0,0,0
0.5,-1.6,-8.1,5.2,24061,154,4144,19594,323,0,0,0
0,3.2,-3.8,8.7,24162,101,3750,20088,324,0,0,0
0.7,5,-2.3,9.5,24267,107,3612,20330,325,0,0,0
0,-5.6,-8.2,-2.4,24395,128,3584,20485,326,0,0,0
3.4,-3.2,-9.4,1.4,24583,188,3563,20693,327,0,0,0
0.1,-3.6,-7.4,0.7,24755,172,3655,20771,329,0,0,0
0,1.4,-4.4,6.7,24880,126,3637,20911,332,0,0,0
0,6.8,4.3,9.5,25023,143,3681,21009,333,0,0,0
0,7.6,1,15.9,26021,136,3943,21726,352,0,0,0
0,9.5,6.4,13.8,26173,152,4003,21815,355,0,0,0
1.4,1.2,-5.2,8.2,26324,151,4081,21887,356,0,0,0
1.5,-5.1,-7,-1.3,26484,161,4093,22032,359,0,0,0
0,-8.3,-10.4,-5.2,26742,258,3952,22430,360,0,0,0
67.5,4.7,0.5,9,28332,92,2864,25087,381,0,0,0
0.1,2.3,0.2,6.9,28454,122,2921,25152,381,0,0,0
1.7,10.6,5.1,15.7,30061,112,2128,27526,407,0,0,0
1.3,8.4,4.9,13.1,30140,79,1997,27734,409,0,0,0
0,8.8,1.8,17.5,30260,120,1861,27987,412,0,0,0
0,11.7,5,18.4,30384,124,1864,28108,412,0,0,0
0,15.3,11.4,20.2,30530,146,1931,28186,413,0,0,0
5.1,9.9,7.4,14.7,30650,120,1919,28318,413,0,0,0
0.3,5.8,3.1,8.6,30775,125,1975,28386,414,0,0,0
0,6.2,1.1,11.1,30879,109,1998,28466,415,0,0,0
0,9.1,2.5,16.4,30976,97,1953,28608,415,0,0,0
0,10.8,5.7,16.9,31110,137,1958,28735,417,0,0,0
0,11.9,6.8,19,31237,127,1893,28926,418,0,0,0
0,12.6,4.8,20.6,31359,122,1736,29203,420,0,0,0
25.5,12.1,10.2,15,31486,127,1746,29318,422,0,0,0
9.2,9,7.7,13,31624,138,1815,29386,423,0,0,0
0.2,10.2,7.3,14.6,31731,107,1869,29439,423,0,0,0
0,10.8,4.1,18.2,31876,145,1894,29558,424,0,0,0
0,14.5,5.9,22.9,32034,158,1916,29694,424,0,0,0
0,17.7,12,24,32233,199,2026,29782,425,0,0,0
0,17.8,12.5,23,32397,167,2073,29898,426,0,0,0
56.2,14.9,10.9,18,32551,155,2148,29976,427,0,0,0
0.6,11.9,9,15.8,32700,149,2170,30101,429,0,0,0
0,11.9,5.4,19.3,32852,152,2251,30172,429,0,0,0
0,13.9,9.4,19.2,32999,147,2267,30303,429,0,0,0
0,14.1,8.1,20.4,33197,198,2336,30430,431,0,0,0
0,13,7.2,18,33441,244,2469,30541,431,0,0,0
0,13.6,7.6,19.6,33656,215,2571,30651,434,0,0,0
0,12.6,7.7,18.8,33857,201,2640,30783,434,0,0,0
0,15,7.5,21.8,34071,214,2381,31256,434,0,0,0
22,13.8,11.9,17.8,34233,162,2493,31305,435,0,0,0
8,10.4,5.7,13.5,34391,158,2470,31484,437,0,0,0
0,8.4,3.1,13.3,34638,247,2467,31733,438,0,0,0
0,11.6,6.3,18.3,34855,217,2490,31925,440,0,0,0
0.7,11.3,8.1,14.8,35070,216,2475,32153,442,0,0,0
1.7,15.4,12.5,20,37126,116,2614,34067,445,0,0,0
4.7,14.5,11.2,18.2,37385,259,2728,34212,445,0,0,0
3.9,14.6,10.9,20.1,37610,227,2834,34329,447,0,0,0
26.3,11.3,8.6,14.6,37837,227,2912,34477,448,0,0,0
8,10.2,8.5,15.3,38032,195,2674,34908,450,0,0,0
1.7,12.4,7.3,18.7,38214,182,2712,35051,451,0,0,0
0,14.1,8.4,20.3,38341,127,2781,35109,451,0,0,0
19.6,13.8,11.4,15.8,38525,184,2714,35359,452,0,0,0
0.1,13.9,10.3,18.4,38763,238,2763,35548,452,0,0,0
0,15.7,7.9,23.1,38975,212,2854,35668,453,0,0,0
8.8,14.4,10.7,17.2,39154,179,2849,35848,457,0,0,0
0,14.3,8.9,21,39396,242,2666,36271,459,0,0,0
0,15.7,10,21.8,39591,195,2731,36398,462,0,0,0
0,13.2,11.7,14.6,39732,141,2745,36525,462,0,0,0
0,18.5,9.4,25.7,39895,163,2692,36739,464,0,0,0
0,22,16.9,27.7,40118,223,2762,36890,466,0,0,0
0,22.9,16.6,29.6,40345,227,2860,37017,468,0,0,0
0,24.1,18,30.8,40576,231,2938,37170,468,0,0,0
15,22.1,20.8,26.2,40830,254,2805,37557,468,0,0,0
66.9,18.4,14.8,20.8,41043,213,2851,37721,471,0,0,0
3.1,15.3,14.2,16.7,41238,195,2932,37834,472,0,0,0
0,17.9,13.6,24.5,41410,172,2978,37960,472,0,0,0
0,19.9,12.4,26.6,41659,249,3066,38119,474,0,0,0
0.9,18.7,15.6,22.9,41901,242,3156,38270,475,0,0,0
6.9,16,14.2,18.2,42073,172,3181,38413,479,0,0,0
0.2,18.6,13.8,23.8,42281,208,2938,38863,480,0,0,0
0,19.5,14.3,25.1,42462,181,2830,39152,480,0,0,0
0,19.4,16.4,24.5,42601,139,2845,39276,480,0,0,0
8.3,15.3,11.9,19.3,42739,138,2813,39446,480,0,0,0
0,18,11.5,23,43001,262,2840,39680,481,0,0,0
8.9,15.8,13.9,18.7,43219,218,2883,39854,482,0,0,0
12.3,15.3,12.4,19.7,43433,214,2892,40056,485,0,0,0
0.3,15.4,12.8,19.1,43627,194,2552,40589,486,0,0,0
18.1,18.4,10.8,26.3,43787,160,2620,40679,488,0,0,0
4,19.9,16.5,23.8,43917,130,2614,40815,488,0,0,0
3.2,20.2,15.9,23.9,44064,147,2541,41032,491,0,0,0
0,23.2,16.6,29.7,44322,258,2668,41162,492,0,0,0
18.1,19.1,14.6,22.7,44537,215,2648,41394,495,0,0,0
0,18.5,13.3,23.6,44743,206,2753,41494,496,0,0,0
0,20.8,17,25.7,45020,277,2913,41611,496,0,0,0
0,23,18.4,28.2,45199,179,2940,41762,497,0,0,0
0,21.1,19.4,24,45358,159,2765,42096,497,0,0,0
